Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,1967.8125,1773.5,6277.9375,11760.0625,21279.5625,25890.625,31529.25,19243.1875,13387,17448.4375,7169.25,4358.625,
2015,"4,547","1,316","6,200","9,314","16,345","56,206","60,373","59,607","30,623","19,441","9,510","7,223","280,705"
2014,860,"1,142","2,595","7,768","22,017","45,539","44,607","43,523","19,510","24,223","5,247","2,515","219,546"
2013,"2,566","2,313","6,519","11,319","9,749","14,823","47,397","33,742","24,455","8,770","2,080","1,426","165,159"
2012,"5,682","4,550","12,833","17,891","26,926","27,942","20,135","27,475","15,592","21,661","5,323","1,883","187,893"
2011,"3,434","2,037","2,647","14,969","19,744","45,780","19,719","21,700","16,761","34,579","7,486","4,623","193,479"
2010,"2,544",935,"5,100","46,800","48,745","49,727","46,739","22,644","18,093","17,029","3,867","2,227","264,450"
2009,"4,555","3,243","23,796","24,154","35,323","25,127","26,220","11,076","10,020","24,473","7,309","1,975","197,271"
2008,"1,362",621,"13,444","15,204","10,378","12,092","14,001","12,855","20,196","19,668","4,183","3,668","127,672"
2007,"1,693","1,130","6,333","5,589","53,069","84,637","86,247","17,863","9,278","23,023","37,146","27,288","353,296"
2006,619,243,"6,795","5,564","31,412","26,473","71,552","24,343","17,265","23,491","7,661","7,693","223,111"
2005,33,8,"2,188","5,541","13,982","12,431","26,482","15,557","8,458","13,893","2,339","1,092","102,004"
2004,351,"1,001","2,313","5,622","14,730","13,546","19,717","16,762","9,935","11,590","7,820","2,301","105,688"
2003,"2,636","3,887","2,364","6,286","8,736","10,511","19,266","10,937","11,743","11,635","5,015","2,941","95,957"
2002,"1,423","1,954","5,402","4,553","10,705","10,198","16,215","13,194","8,476","10,310","3,949","3,028","89,407"
2001,"1,769","1,707","2,476","4,840","11,052","11,182","17,149","14,678","6,590","11,469","4,088","2,133","89,133"
2000,"1,025","1,793","2,439","6,507","12,952","13,517","13,299","8,273","9,681","12,883","8,257","3,234","93,860"
1999,933,"1,812","3,203","5,554","10,953","10,725","15,723","13,269","8,139","10,478","2,938","1,711","85,438"
1998,"1,796","2,130","3,722","6,296","12,393","10,339","18,383","16,178","9,646","12,238","3,351","1,325","97,797"
1997,"1,776","1,932","4,020","5,600","12,461","11,252","15,820","13,371","6,785","11,005","3,100","1,185","88,307"
1996,"1,814","2,969","3,746","7,629","10,606","12,323","17,962","14,008","9,871","11,990","1,920","1,265","96,103"
1995,"3,161","4,123","3,934","6,230","13,202","14,831","16,294","16,724","10,682","12,872","5,006",844,"107,903"
1994,"3,629","2,836","4,960","5,429","10,881","11,645","17,101","15,034","9,374","14,294","4,209","2,658","102,050"
1993,"8,039","4,518","5,427","6,577","17,818","20,988","22,764","21,363","13,295","16,810","3,757","3,945","145,301"
1992,"4,064","7,978","5,470","10,067","17,903","37,112","25,575","28,345","15,311","11,884","7,162","3,098","173,969"
1991,"4,246","6,877","9,104","9,341","16,256","38,264","34,927","29,698","19,219","25,165","9,613","6,650","209,360"
1990,"3,686","7,426","7,366","8,299","17,718","30,928","27,414","25,077","17,673","21,016","9,109","6,392","182,104"
1989,"3,060","5,297","6,495","8,018","16,033","22,660","31,638","25,123","14,310","22,825","6,844","5,642","167,945"
1988,"2,142","2,560","3,303","7,721","11,175","20,413","28,757","22,000","14,154","14,908","5,695","2,669","135,497"
1987,"2,523","3,821","6,236","9,276","15,258","18,685","25,701","23,313","10,222","20,007","5,712","1,744","142,498"
1986,"2,196","3,006","4,789","7,969","17,049","21,526","27,182","30,925","15,000","18,217","4,774","2,600","155,233"
1985,"1,412","2,614","4,269","5,109","16,833","23,635","24,836","26,742","14,182","15,117","3,359","2,091","140,199"
1984,"1,861","3,354","5,679","9,070","21,779","34,958","26,871","21,817","16,147","16,458","5,542","3,003","166,539"
1983,"1,452","4,393","6,602","5,651","13,036","17,492","23,069","27,113","13,472","16,295","4,848",764,"134,187"
1982,"2,547","1,694","3,411","8,262","15,888","20,495","26,293","25,197","15,968","15,493","3,560",703,"139,511"
1981,"2,885","2,325","3,872","7,484","16,353","25,996","26,367","32,730","14,275","14,792","5,654","1,165","153,898"
1980,780,"1,683","4,399","8,263","15,486","20,471","23,072","25,996","11,629","14,522","4,192","1,994","132,487"
1979,285,947,"4,313","5,976","13,987","13,620","18,292","18,920","11,680","13,556","4,869","1,613","108,058"
