Name,Date of Birth,Place of Birth,Active Years,Alma Mater
Frank Lloyd Wright,"June 8, 1867","Richland Center, Wisconsin, USA",1890s–1959,University of Wisconsin-Madison (no degree)
Zaha Hadid,"October 31, 1950","Baghdad, Iraq",1979–2016,Architectural Association School of Architecture
Le Corbusier (Charles-Édouard Jeanneret),"October 6, 1887","La Chaux-de-Fonds, Switzerland",1907–1965,Art School of La Chaux-de-Fonds
Norman Foster,"June 1, 1935","Reddish, Stockport, United Kingdom",1967–present,"University of Manchester, Yale University"
Renzo Piano,"September 14, 1937","Genoa, Italy",1960s–present,Politecnico di Milano
Frank Gehry,"February 28, 1929","Toronto, Ontario, Canada",1962–present,"University of Southern California, Harvard University"
Ludwig Mies van der Rohe,"March 27, 1886","Aachen, Kingdom of Prussia, German Empire",1907–1969,No formal architectural education
Santiago Calatrava,"July 28, 1951","Valencia, Spain",1981–present,ETH Zurich
Ieoh Ming Pei (I.M. Pei),"April 26, 1917","Guangzhou, China",1948–2019,"Massachusetts Institute of Technology, Harvard University"
Jeanne Gang,"March 19, 1964","Belvidere, Illinois, USA",1997–present,"University of Illinois at Urbana-Champaign, Harvard University"
Antoni Gaudí,"June 25, 1852","Reus, Tarragona, Spain",1878–1926,Escola Tècnica Superior d'Arquitectura de Barcelona
