authorid,name,workcount,fan_count,gender,image_url,about,born,died,influence,average_rate,rating_count,review_count,website,twitter,genre,original_hometown,country,latitude,longitude
1240,Jack London,2042,5012,male,https://images.gr-assets.com/authors/1508674808p7/1240.jpg,"Jack London was an American novelist, journalist, social-activist and short-story writer whose works deal romantically with elemental struggles for survival. At his peak, he was the highest paid and the most popular of all living writers. Because of early financial difficulties, he was largely self educated past grammar school.<br /><br />London drew heavily on his life experiences in his writing. He spent time in the Klondike during the Gold Rush and at various times was an oyster pirate, a seaman, a sealer, and a hobo. His first work was published in 1898. From there he went on to write such American classics as <i>Call of the Wild, Sea Wolf</i>, and <i>White Fang</i>.<br /><br />",1876-01-12,11/22/2016,"John Tyndall,Thomas Henry Huxley,Herbert Spencer,H.G. Wells,Karl Marx,Rudyard Kipling,Charles Darwin,Ambrose Bierce,Ernst Haeckel,Friedrich Nietzsche,",3.96,715401,25354,http://www.jacklondons.net/index.html,,"adventure,classics,fiction,literature","San Francisco, California",United States,37.77493,-122.41942
1069006,C.S. Lewis,568,32678,male,https://images.gr-assets.com/authors/1564671804p7/1069006.jpg,"<i>Librarian Note: There is more than one author in the Goodreads database with this name.</i><br /><br /><br />Clive Staples Lewis was one of the intellectual giants of the twentieth century and arguably one of the most influential writers of his day. He was a Fellow and Tutor in English Literature at Oxford University until 1954. He was unanimously elected to the Chair of Medieval and Renaissance Literature at Cambridge University, a position he held until his retirement. He wrote more than thirty books, allowing him to reach a vast audience, and his works continue to attract thousands of new readers every year. His most distinguished and popular accomplishments include <i>Mere Christianity</i>, <i>Out of the Silent Planet</i>, <i>The Great Divorce</i>, <i>The Screwtape Letters</i>, and the universally acknowledged classics <i>The Chronicles of Narnia</i>. To date, the Narnia books have sold over 100 million copies and been transformed into three major motion pictures.<br /><br />Lewis was married to poet <a href=""https://www.goodreads.com/author/show/467360.Joy_Davidman"" title=""Joy Davidman"" rel=""nofollow"">Joy Davidman</a>.<br /><a href=""https://www.goodreads.com/author/show/1988716._W_H__Lewis"" title="" W.H. Lewis"" rel=""nofollow""> W.H. Lewis</a> was his elder brother]",1898-11-29,11/22/1963,"James I, King of Scots, David Lindsay,Olaf Stapledon,J.R.R. Tolkien,G.K. Chesterton,George MacDonald,",4.15,5600874,129276,http://www.cslewis.com/,,"children,religion and spirituality",Belfast,United Kingdom,54.59682,-5.92541
4785,Alexandre Dumas,3047,8330,male,https://images.gr-assets.com/authors/1279049943p7/4785.jpg,"<i>This note regards <b>Alexandre Dumas, père</b>, the father of Alexandre Dumas, fils (son). For the son, see <a href=""https://www.goodreads.com/author/show/3186713.Alexandre_Dumas_fils"" title=""Alexandre Dumas fils"" rel=""nofollow"">Alexandre Dumas fils</a>.</i><br /><br />Alexandre Dumas, père (French for ""father"", akin to Senior in English), born Dumas Davy de la Pailleterie, was a French writer, best known for his numerous historical novels of high adventure which have made him one of the most widely read French authors in the world. Many of his novels, including <i>The Count of Monte Cristo</i>, <i>The Three Musketeers</i>, <i>The Man in the Iron Mask</i>, and <i>The Vicomte de Bragelonne</i> were serialized. Dumas also wrote plays and magazine articles, and was a prolific correspondent.<br /><br /><i>Excerpted from <a href=""http://en.wikipedia.org/wiki/Alexandre_Dumas,_p%C3%A8re"" rel=""nofollow"">Wikipedia</a></i>.",1802-07-24,1870-12-05,"Lord Byron,Walter Scott,",4.17,1188882,33972,,,"adventure,fiction,romance","Villers-Cotterêts, Aisne",France,49.25311,3.09003
2778055,Kurt Vonnegut Jr.,334,28164,male,https://images.gr-assets.com/authors/1433582280p7/2778055.jpg,"Kurt Vonnegut, Junior was an American novelist, satirist, and most recently, graphic artist. He was recognized as New York State Author for 2001-2003. <br /><br />He was born in Indianapolis, later the setting for many of his novels. He attended Cornell University from 1941 to 1943, where he wrote a column for the student newspaper, the Cornell Daily Sun. Vonnegut trained as a chemist and worked as a journalist before joining the U.S. Army and serving in World War II. <br /><br />After the war, he attended University of Chicago as a graduate student in anthropology and also worked as a police reporter at the City News Bureau of Chicago. He left Chicago to work in Schenectady, New York in public relations for General Electric. He attributed his unadorned writing style to his reporting work. <br /><br />His experiences as an advance scout in the Battle of the Bulge, and in particular his witnessing of the bombing of Dresden, Germany whilst a prisoner of war, would inform much of his work. This event would also form the core of his most famous work, Slaughterhouse-Five, the book which would make him a millionaire. This acerbic 200-page book is what most people mean when they describe a work as ""Vonnegutian"" in scope. <br /><br />Vonnegut was a self-proclaimed humanist and socialist (influenced by the style of Indiana's own Eugene V. Debs) and a lifelong supporter of the American Civil Liberties Union.<br /><br /><br />The novelist is known for works blending satire, black comedy and science fiction, such as Slaughterhouse-Five (1969), Cat's Cradle (1963), and Breakfast of Champions (1973) ",11/11/2022,4/11/2007,"Mark Twain,William March,Joseph Heller,Louis-Ferdinand Céline,Breece D'J Pancake,",4.06,2395237,77999,http://www.vonnegut.com/,,fiction,"Indianapolis, Indiana",United States,39.76838,-86.15804
1244,Mark Twain,2758,14847,male,https://images.gr-assets.com/authors/1322103868p7/1244.jpg,"<b>Samuel Langhorne Clemens</b>, better known by his pen name <b>Mark Twain</b>, was an American author and humorist. He is noted for his novels <i>Adventures of Huckleberry Finn</i> (1885), called ""the Great American Novel"", and <i>The Adventures of Tom Sawyer</i> (1876).<br /><br />Twain grew up in Hannibal, Missouri, which would later provide the setting for <i>Huckleberry Finn</i> and <i>Tom Sawyer</i>. He apprenticed with a printer. He also worked as a typesetter and contributed articles to his older brother Orion's newspaper. After toiling as a printer in various cities, he became a master riverboat pilot on the Mississippi River, before heading west to join Orion. He was a failure at gold mining, so he next turned to journalism. While a reporter, he wrote a humorous story, ""The Celebrated Jumping Frog of Calaveras County,"" which proved to be very popular and brought him nationwide attention. His travelogues were also well-received. Twain had found his calling.<br /><br />He achieved great success as a writer and public speaker. His wit and satire earned praise from critics and peers, and he was a friend to presidents, artists, industrialists, and European royalty.<br /><br />However, he lacked financial acumen. Though he made a great deal of money from his writings and lectures, he squandered it on various ventures, in particular the Paige Compositor, and was forced to declare bankruptcy. With the help of Henry Huttleston Rogers, however, he eventually overcame his financial troubles. Twain worked hard to ensure that all of his creditors were paid in full, even though his bankruptcy had relieved him of the legal responsibility.<br /><br />Born during a visit by Halley's Comet, he died on its return. He was lauded as the ""greatest American humorist of his age"", and <a href=""https://www.goodreads.com/author/show/3535.William_Faulkner"" title=""William Faulkner"" rel=""nofollow"">William Faulkner</a> called Twain ""the father of American literature"".<br /><br /><i>Excerpted from <a href=""http://en.wikipedia.org/wiki/Mark_Twain"" rel=""nofollow"">Wikipedia</a>.</i><br /><br />AKA:<br /><a href=""https://www.goodreads.com/author/show/14956076.___________"" title=""Μαρκ Τουαίν"" rel=""nofollow"">Μαρκ Τουαίν</a> (Greek)",1835-11-30,4/21/2010,"Jacques Loeb,E. Haldeman-Julius,Ambrose Bierce,Robert Ingersoll,",3.86,2307053,46846,http://www.marktwainproject.org/,,"biographies and memoirs,fiction,literature,short stories","Florida, Missouri",United States,24.67764,-81.23813
4624490,Edgar Allan Poe,3435,19338,male,https://images.gr-assets.com/authors/1454522972p7/4624490.jpg,"The name Poe brings to mind images of murderers and madmen, premature burials, and mysterious women who return from the dead. His works have been in print since 1827 and include such literary classics as <i>The Tell-Tale Heart</i>, <i>The Raven</i>, and The Fall of the House of Usher. This versatile writer’s oeuvre includes short stories, poetry, a novel, a textbook, a book of scientific theory, and hundreds of essays and book reviews. He is widely acknowledged as the inventor of the modern detective story and an innovator in the science fiction genre, but he made his living as America’s first great literary critic and theoretician. Poe’s reputation today rests primarily on his tales of terror as well as on his haunting lyric poetry.<br /><br />Just as the bizarre characters in Poe’s stories have captured the public imagination so too has Poe himself. He is seen as a morbid, mysterious figure lurking in the shadows of moonlit cemeteries or crumbling castles. This is the Poe of legend. But much of what we know about Poe is wrong, the product of a biography written by one of his enemies in an attempt to defame the author’s name.<br /><br />The real Poe was born to traveling actors in Boston on January 19, 1809. Edgar was the second of three children. His other brother William Henry Leonard Poe would also become a poet before his early death, and Poe’s sister Rosalie Poe would grow up to teach penmanship at a Richmond girls’ school. Within three years of Poe’s birth both of his parents had died, and he was taken in by the wealthy tobacco merchant John Allan and his wife Frances Valentine Allan in Richmond, Virginia while Poe’s siblings went to live with other families. Mr. Allan would rear Poe to be a businessman and a Virginia gentleman, but Poe had dreams of being a writer in emulation of his childhood hero the British poet Lord Byron. Early poetic verses found written in a young Poe’s handwriting on the backs of Allan’s ledger sheets reveal how little interest Poe had in the tobacco business.<br /><br />For more information, please see <a target=""_blank"" href=""http://en.wikipedia.org/wiki/Edgar_allan_poe"" rel=""nofollow"">http://en.wikipedia.org/wiki/Edgar_al...</a>",1809-01-19,1849-10-07,"Elizabeth Barrett Browning,John Keats,Percy Shelley,Coleridge,Charles Dickens,John Milton, E.T.A. Hoffmann,Thomas de Quincey,James Hogg,",4.17,1258816,33386,http://www.poemuseum.org,,"horror,mystery and thrillers,poetry","Boston, Massachusetts",United States,42.35843,-71.05977
2448,Arthur Conan Doyle,4664,17838,male,https://images.gr-assets.com/authors/1495008883p7/2448.jpg,"Sir Arthur Conan Doyle was born the third of ten siblings on 22 May 1859 in Edinburgh, Scotland. His father, <a href=""https://www.goodreads.com/author/show/345352.Charles_Altamont_Doyle"" title=""Charles Altamont Doyle"" rel=""nofollow"">Charles Altamont Doyle</a>, a talented illustrator, was born in England of Irish descent, and his mother, born Mary Foley, was Irish. They were married in 1855.<br /><br />Although he is now referred to as ""Conan Doyle"", the origin of this compound surname (if that is how he meant it to be understood) is uncertain. His baptism record in the registry of St Mary's Cathedral in Edinburgh gives 'Arthur Ignatius Conan' as his Christian name, and simply 'Doyle' as his surname. It also names Michael Conan as his godfather.<br /><br />At the age of nine Conan Doyle was sent to the Roman Catholic Jesuit preparatory school, Hodder Place, Stonyhurst. He then went on to Stonyhurst College, leaving in 1875.<br /><br />From 1876 to 1881 he studied medicine at the University of Edinburgh. This required that he provide periodic medical assistance in the towns of Aston (now a district of Birmingham) and Sheffield. While studying, Conan Doyle began writing short stories. His first published story appeared in ""<i>Chambers's Edinburgh Journal</i>"" before he was 20. Following his graduation, he was employed as a ship's doctor on the SS Mayumba during a voyage to the West African coast. He completed his doctorate on the subject of tabes dorsalis in 1885.<br /><br />In 1885 Conan Doyle married Louisa (or Louise) Hawkins, known as ""Touie"". She suffered from tuberculosis and died on 4 July 1906. The following year he married Jean Elizabeth Leckie, whom he had first met and fallen in love with in 1897. Due to his sense of loyalty he had maintained a purely platonic relationship with Jean while his first wife was alive. Jean died in London on 27 June 1940.<br /><br />Conan Doyle fathered five children. Two with his first wife—Mary Louise (28 January 1889 – 12 June 1976), and Arthur Alleyne Kingsley, known as Kingsley (15 November 1892 – 28 October 1918). With his second wife he had three children—Denis Percy Stewart (17 March 1909 – 9 March 1955), second husband in 1936 of Georgian Princess Nina Mdivani (circa 1910 – 19 February 1987; former sister-in-law of Barbara Hutton); Adrian Malcolm (19 November 1910–3 June 1970) and Jean Lena Annette (21 December 1912–18 November 1997).<br /><br />Conan Doyle was found clutching his chest in the hall of Windlesham, his house in Crowborough, East Sussex, on 7 July 1930. He had died of a heart attack at age 71. His last words were directed toward his wife: ""You are wonderful."" The epitaph on his gravestone in the churchyard at Minstead in the New Forest, Hampshire, reads:<br /><br />STEEL TRUE<br />BLADE STRAIGHT<br />ARTHUR CONAN DOYLE<br />KNIGHT<br />PATRIOT, PHYSICIAN &amp; MAN OF LETTERS<br /><br />Conan Doyle's house, Undershaw, located in Hindhead, south of London, where he had lived for a decade, had been a hotel and restaurant between 1924 and 2004. It now stands empty while conservationists and Conan Doyle fans fight to preserve it.<br /><br />A statue honours Conan Doyle at Crowborough Cross in Crowborough, where Conan Doyle lived for 23 years. There is also a statue of Sherlock Holmes in Picardy Place, Edinburgh, close to the house where Conan Doyle was born.<br /><br /><b>Series:</b><br />* <a href=""https://www.goodreads.com/series/49996-sherlock-holmes"" rel=""nofollow"">Sherlock Holmes</a>",1859-05-22,7/7/1930,"Andrew Lang,J.M. Barrie,Roger Casement,Charles Altamont Doyle,Joseph Bell,Fortuné du Boisgobey,Robert Louis Stevenson,Thomas Babington Macaulay,Walter Scott,Jules Verne,Joseph McCabe,Edgar Allan Poe,",4.2,1826224,59615,http://www.sherlockholmesonline.org/,,"crime,fiction,mystery and thrillers","Edinburgh, Scotland",United Kingdom,55.95206,-3.19648
239579,Charles Dickens,4308,22328,male,https://images.gr-assets.com/authors/1387078070p7/239579.jpg,"<b>Charles John Huffam Dickens</b> was a writer and social critic who created some of the world's best-known fictional characters and is regarded as the greatest novelist of the Victorian era. His works enjoyed unprecedented popularity during his lifetime, and by the twentieth century critics and scholars had recognised him as a literary genius. His novels and short stories enjoy lasting popularity.<br /><br />Dickens left school to work in a factory when his father was incarcerated in a debtors' prison. Despite his lack of formal education, he edited a weekly journal for 20 years, wrote 15 novels, five novellas, hundreds of short stories and non-fiction articles, lectured and performed extensively, was an indefatigable letter writer, and campaigned vigorously for children's rights, education, and other social reforms.<br /><br />Dickens was regarded as the literary colossus of his age. His 1843 novella, <i>A Christmas Carol</i>, remains popular and continues to inspire adaptations in every artistic genre. <i>Oliver Twist</i> and <i>Great Expectations</i> are also frequently adapted, and, like many of his novels, evoke images of early Victorian London. His 1859 novel, <i>A Tale of Two Cities</i>, set in London and Paris, is his best-known work of historical fiction. Dickens's creative genius has been praised by fellow writers—from Leo Tolstoy to <a href=""https://www.goodreads.com/author/show/3706.George_Orwell"" title=""George Orwell"" rel=""nofollow"">George Orwell</a> and G. K. Chesterton—for its realism, comedy, prose style, unique characterisations, and social criticism. On the other hand, Oscar Wilde, Henry James, and Virginia Woolf complained of a lack of psychological depth, loose writing, and a vein of saccharine sentimentalism. The term Dickensian is used to describe something that is reminiscent of Dickens and his writings, such as poor social conditions or comically repulsive characters.<br /><br />On 8 June 1870, Dickens suffered another stroke at his home after a full day's work on <i>Edwin Drood.</i> He never regained consciousness, and the next day he died at Gad's Hill Place. Contrary to his wish to be buried at Rochester Cathedral ""in an inexpensive, unostentatious, and strictly private manner,"" he was laid to rest in the Poets' Corner of Westminster Abbey. A printed epitaph circulated at the time of the funeral reads: ""To the Memory of Charles Dickens (England's most popular author) who died at his residence, Higham, near Rochester, Kent, 9 June 1870, aged 58 years. He was a sympathiser with the poor, the suffering, and the oppressed; and by his death, one of England's greatest writers is lost to the world."" His last words were: ""On the ground"", in response to his sister-in-law Georgina's request that he lie down.<br /><br />(from Wikipedia)",1812-02-07,1870-06-09,"Hans Christian Andersen,Oliver Goldsmith,Victor Hugo,Balzac,Walter Scott,Tobias Smollett,Henry Fielding,Daniel Defoe,Miguel de Cervantes,Thomas Carlyle,",3.89,3029111,90241,,,fiction,"Portsmouth, England",United Kingdom,50.79899,-1.09125
3190,F. Scott Fitzgerald,645,18710,male,https://images.gr-assets.com/authors/1517864008p7/3190.jpg,"<b>Francis Scott Key Fitzgerald</b> was an American writer of novels and short stories, whose works have been seen as evocative of the Jazz Age, a term he himself allegedly coined. He is regarded as one of the greatest twentieth century writers. Fitzgerald was of the self-styled ""Lost Generation,"" Americans born in the 1890s who came of age during World War I. He finished four novels, left a fifth unfinished, and wrote dozens of short stories that treat themes of youth, despair, and age. He was married to <a href=""https://www.goodreads.com/author/show/28243.Zelda_Fitzgerald"" title=""Zelda Fitzgerald"" rel=""nofollow"">Zelda Fitzgerald</a>.",1896-09-24,12/21/1940,"Theodore Dreiser,",3.9,3950336,85846,,,"fiction,short stories","St. Paul, Minnesota",United States,44.94441,-93.09327
5329,Brian Jacques,124,3478,male,https://images.gr-assets.com/authors/1309635011p7/5329.jpg," Brian Jacques (pronounced 'jakes') was born in Liverpool, England on June 15th, 1939. Along with forty percent of the population of Liverpool, his ancestral roots are in Ireland, County Cork to be exact.<br /><br />Brian grew up in the area around the Liverpool docks, where he attended St. John's School, an inner city school featuring a playground on its roof. At the age of ten, his very first day at St. John's foreshadowed his future career as an author; given an assignment to write a story about animals, he wrote a short story about a bird who cleaned a crocodile's teeth. Brian's teacher could not, and would not believe that a ten year old could write so well. When young Brian refused to falsely say that he had copied the story, he was caned as ""a liar"". He had always loved to write, but it was only then that he realized he had a talent for it.<br />He wrote Redwall for the children at the Royal Wavertree School for the Blind in Liverpool, where as a truck driver, he delivered milk. Because of the nature of his first audience, he made his style of writing as descriptive as possible, painting pictures with words so that the schoolchildren could see them in their imaginations. He remained a patron of the school until his death.<br /><br />Brian lived in Liverpool, where his two grown sons, Marc, a carpenter and bricklayer, and David, a professor of Art and a muralist, still reside. David Jacques' work can be seen in Children's hospitals, soccer stadiums, and trade union offices as far away as Germany, Mexico, and Chile (not to mention Brian's photo featured in most of his books).<br /><br />Brian also ran a weekly radio show on BBC Radio Merseyside, until October 2006, where he shared his comedy and wit, and played his favourites from the world of opera - he was a veritable expert on The Three Tenors.<br /><br />When he was wasn't writing, Brian enjoyed walking his dog 'Teddy', a white West Highland Terrier, and completing crossword puzzles. When he found time he read the works of Mario Puzo, Damon Runyon, Richard Condon, Larry McMurty, and P.G. Wodehouse. He was also known to cook an impressive version of his favourite dish, spaghetti and meatballs.<br /><br />Sadly, Brian passed away on the 5th February 2011. ",6/15/1939,2/5/2011,,4.06,547753,10243,http://www.redwallabbey.com/,,"fantasy,fiction,literature,young adult",Liverpool,United Kingdom,53.41058,-2.97794
