Song Name,Artist,Downloads,Release Year,Genre,Duration
Shape of You,Ed Sheeran,1500000,2017,Pop,3:53
Blinding Lights,The Weeknd,2000000,2019,R&B,3:20
Rockstar,Post Malone,1700000,2018,Rap,3:38
Someone Like You,Adele,1800000,2011,Soul,4:45
Old Town Road,Lil Nas X,2200000,2019,Country Rap,2:38
Thriller,Michael Jackson,3000000,1982,Pop,5:57
Rolling in the Deep,Adele,2500000,2010,Soul,3:48
Uptown Funk,Mark Ronson feat. Bruno Mars,2800000,2014,Funk,4:31
Call Me Maybe,Carly Rae Jepsen,2600000,2011,Pop,3:13
Lose Yourself,Eminem,2700000,2002,Rap,5:26
