Film,U.S. release date,Box office gross Domestic (U.S. and Canada ),Box office gross Other territories,Box office gross Worldwide,Budget,MCU,Phase,Distributor,MPAA Rating,Length,Minutes,Franchise,Character Family,Domestic %,Gross to Budget,Rotten Tomatoes Critic Score,Male/Female-led,Year,Inflation Adjusted Worldwide Gross,Inflation Adjusted Budget,2.5x prod,Break Even
Superman,15/12/1978,"$134,478,449","$166,000,000","$300,478,449","$55,000,000",FALSE,NA,Warner Bros.,PG,02:23:00,143,DC,Superman,45%,5.46,94,Male,1978,"$1,404,237,104","$257,033,544","$137,500,000",Success
Superman II,19/06/1981,"$108,185,706","$108,200,000","$216,385,706","$54,000,000",FALSE,NA,Warner Bros.,PG,02:07:00,127,DC,Superman,50%,4.01,83,Male,1981,"$725,336,273","$181,010,842","$135,000,000",Success
Superman III,17/06/1983,"$59,950,623","$20,300,000","$80,250,623","$39,000,000",FALSE,NA,Warner Bros.,PG,02:05:00,125,DC,Superman,75%,2.06,29,Male,1983,"$245,506,947","$119,310,861","$97,500,000",Flop
Supergirl,21/11/1984,"$14,296,438",,"$14,296,438","$35,000,000",FALSE,NA,Tri-Star Pictures,PG,02:04:00,124,DC,Superman,100%,0.41,8,Female,1984,"$41,926,345","$102,642,497","$87,500,000",Flop
Howard the Duck,01/08/1986,"$16,295,774","$21,667,000","$37,962,774","$37,000,000",FALSE,NA,Universal Pictures,PG,01:50:00,110,Marvel,Howard the Duck,43%,1.03,13,Male,1986,"$37,962,774","$37,000,000","$92,500,000",Flop
Superman IV: The Quest for Peace,24/07/1987,"$15,681,020","$14,600,000","$30,281,020","$17,000,000",FALSE,NA,Warner Bros.,PG,01:30:00,90,DC,Superman,52%,1.78,10,Male,1987,"$81,220,728","$45,597,948","$42,500,000",Flop
The Return of Swamp Thing,12/05/1989,"$192,816","$82,112","$274,928","$3,000,000",FALSE,NA,Millimeter Films,PG-13,01:28:00,88,DC,Swamp Thing,70%,0.09,44,Male,1989,"$675,573","$7,371,813","$7,500,000",Flop
Batman,23/06/1989,"$251,409,241","$160,160,000","$411,569,241","$35,000,000",FALSE,NA,Warner Bros.,PG-13,02:06:00,126,DC,Batman,61%,11.76,76,Male,1989,"$1,011,337,092","$86,004,479","$87,500,000",Success
The Punisher,05/10/1989,$0,"$30,000,000","$30,000,000","$9,000,000",FALSE,NA,New World International,R,01:29:00,89,Marvel,Punisher,0%,3.33,25,Male,1989,"$30,000,000","$9,000,000","$22,500,000",Success
Batman Returns,19/06/1992,"$162,924,631","$104,010,057","$266,934,688","$80,000,000",FALSE,NA,Warner Bros.,PG-13,02:06:00,126,DC,Batman,61%,3.34,81,Male,1992,"$579,725,033","$173,742,884","$200,000,000",Success
Batman: Mask of the Phantasm,25/12/1993,"$5,635,204","$213,000","$5,848,204","$5,600,000",FALSE,NA,Warner Bros.,PG,01:16:00,76,DC,Batman,96%,1.04,82,Male,1993,"$12,331,882","$11,808,504","$14,000,000",Flop
Batman Forever,16/06/1995,"$184,069,126","$152,498,032","$336,567,158","$100,000,000",FALSE,NA,Warner Bros.,PG-13,02:01:00,121,DC,Batman,55%,3.37,40,Male,1995,"$672,916,968","$199,935,422","$250,000,000",Success
Batman & Robin,20/06/1997,"$107,353,792","$130,900,196","$238,253,988","$125,000,000",FALSE,NA,Warner Bros.,PG-13,02:05:00,125,DC,Batman,45%,1.91,11,Male,1997,"$452,313,815","$237,306,529","$312,500,000",Flop
Steel,15/08/1997,"$1,710,972","$91,000","$1,801,972","$16,000,000",FALSE,NA,Warner Bros.,PG-13,01:37:00,97,DC,Superman,95%,0.11,12,Male,1997,"$3,420,958","$30,375,236","$40,000,000",Flop
Blade,21/08/1998,"$70,087,718","$61,123,659","$131,211,377","$45,000,000",FALSE,NA,New Line Cinema,R,02:00:00,120,Marvel,Blade,53%,2.92,58,Male,1998,"$131,211,377","$45,000,000","$112,500,000",Success
X-Men,14/07/2000,"$157,299,718","$139,039,810","$296,339,528","$75,000,000",FALSE,NA,Twentieth Century Fox,PG-13,01:44:00,104,Marvel,X-Men,53%,3.95,82,Male,2000,"$296,339,528","$75,000,000","$187,500,000",Success
Blade II,22/03/2002,"$82,348,319","$72,661,713","$155,010,032","$54,000,000",FALSE,NA,New Line Cinema,R,01:57:00,117,Marvel,Blade,53%,2.87,57,Male,2002,"$155,010,032","$54,000,000","$135,000,000",Success
Spider-Man,03/05/2002,"$407,022,860","$418,002,176","$825,025,036","$139,000,000",FALSE,NA,Sony Pictures Entertainment ,PG-13,02:01:00,121,Marvel,Spider-Man,49%,5.94,90,Male,2002,"$825,025,036","$139,000,000","$347,500,000",Success
Daredevil,14/02/2003,"$102,543,518","$76,636,200","$179,179,718","$78,000,000",FALSE,NA,Twentieth Century Fox,PG-13,01:43:00,103,Marvel,Daredevil,57%,2.30,43,Male,2003,"$179,179,718","$78,000,000","$195,000,000",Flop
X2,30/04/2003,"$214,949,694","$192,761,855","$407,711,549","$110,000,000",FALSE,NA,Twentieth Century Fox,PG-13,02:14:00,134,Marvel,X-Men,53%,3.71,85,Male,2003,"$407,711,549","$110,000,000","$275,000,000",Success
Hulk,20/06/2003,"$132,177,234","$113,107,931","$245,285,165","$137,000,000",FALSE,NA,Universal Pictures,PG-13,02:18:00,138,Marvel,Hulk,54%,1.79,63,Male,2003,"$245,285,165","$137,000,000","$342,500,000",Flop
The Punisher,16/04/2004,"$33,810,189","$20,889,916","$54,700,105","$33,000,000",FALSE,NA,Lions Gate Films,R,02:04:00,124,Marvel,Punisher,62%,1.66,29,Male,2004,"$54,700,105","$33,000,000","$82,500,000",Flop
Spider-Man 2,30/06/2004,"$373,585,825","$415,390,628","$788,976,453","$200,000,000",FALSE,NA,Sony Pictures Entertainment ,PG-13,02:07:00,127,Marvel,Spider-Man,47%,3.94,93,Male,2004,"$788,976,453","$200,000,000","$500,000,000",Success
Catwoman,23/07/2004,"$40,202,379","$42,200,000","$82,402,379","$100,000,000",FALSE,NA,Warner Bros.,PG-13,01:44:00,104,DC,Batman,49%,0.82,8,Female,2004,"$132,917,604","$161,303,115","$250,000,000",Flop
Blade: Trinity,08/12/2004,"$52,411,906","$79,565,998","$131,977,904","$65,000,000",FALSE,NA,New Line Cinema,R,01:53:00,113,Marvel,Blade,40%,2.03,24,Male,2004,"$131,977,904","$65,000,000","$162,500,000",Flop
Elektra,14/01/2005,"$24,409,722","$32,585,924","$56,995,646","$43,000,000",FALSE,NA,Twentieth Century Fox,PG-13,01:37:00,97,Marvel,Daredevil,43%,1.33,11,Female,2005,"$56,995,646","$43,000,000","$107,500,000",Flop
Constantine,18/02/2005,"$75,976,178","$154,908,550","$230,884,728","$100,000,000",FALSE,NA,Warner Bros.,R,02:01:00,121,DC,Constantine,33%,2.31,46,Male,2005,"$360,219,878","$156,017,196","$250,000,000",Flop
Batman Begins,15/06/2005,"$206,863,479","$168,435,467","$375,298,946","$150,000,000",FALSE,NA,Warner Bros.,PG-13,02:20:00,140,DC,Batman,55%,2.50,85,Male,2005,"$585,530,891","$234,025,794","$375,000,000",Success
Fantastic Four,08/07/2005,"$154,696,080","$178,839,854","$333,535,934","$100,000,000",FALSE,NA,Twentieth Century Fox,PG-13,01:46:00,106,Marvel,Fantastic Four,46%,3.34,28,Male,2005,"$333,535,934","$100,000,000","$250,000,000",Success
X-Men: The Last Stand,26/05/2006,"$234,362,462","$226,072,829","$460,435,291","$210,000,000",FALSE,NA,Twentieth Century Fox,PG-13,01:44:00,104,Marvel,X-Men,51%,2.19,57,Male,2006,"$460,435,291","$210,000,000","$525,000,000",Flop
Superman Returns,28/06/2006,"$200,081,192","$191,000,000","$391,081,192","$270,000,000",FALSE,NA,Warner Bros.,PG-13,02:34:00,154,DC,Superman,51%,1.45,74,Male,2006,"$591,086,599","$408,082,478","$675,000,000",Flop
Ghost Rider,16/02/2007,"$115,802,596","$112,935,797","$228,738,393","$110,000,000",FALSE,NA,Sony Pictures Entertainment ,PG-13,01:50:00,110,Marvel,Ghost Rider,51%,2.08,27,Male,2007,"$228,738,393","$110,000,000","$275,000,000",Flop
Spider-Man 3,01/05/2007,"$336,530,303","$558,453,070","$894,983,373","$258,000,000",FALSE,NA,Sony Pictures Entertainment ,PG-13,02:19:00,139,Marvel,Spider-Man,38%,3.47,63,Male,2007,"$894,983,373","$258,000,000","$645,000,000",Success
Fantastic Four: Rise of the Silver Surfer,15/06/2007,"$131,921,738","$169,991,393","$301,913,131","$130,000,000",FALSE,NA,Twentieth Century Fox,PG,01:32:00,92,Marvel,Fantastic Four,44%,2.32,38,Male,2007,"$301,913,131","$130,000,000","$325,000,000",Flop
Iron Man,02/05/2008,"$319,034,126","$266,762,121","$585,796,247","$140,000,000",TRUE,1,Paramount Pictures,PG-13,02:06:00,126,Marvel,Iron Man,54%,4.18,94,Male,2008,"$585,796,247","$140,000,000","$350,000,000",Success
The Incredible Hulk,13/06/2008,"$134,806,913","$129,964,083","$264,770,996","$150,000,000",TRUE,1,Universal Pictures,PG-13,01:52:00,112,Marvel,Hulk,51%,1.77,67,Male,2008,"$264,770,996","$150,000,000","$375,000,000",Flop
The Dark Knight,18/07/2008,"$534,987,076","$472,349,861","$1,007,336,937","$185,000,000",FALSE,NA,Warner Bros.,PG-13,02:32:00,152,DC,Batman,53%,5.45,94,Male,2008,"$1,425,605,587","$261,816,105","$462,500,000",Success
Punisher: War Zone,05/12/2008,"$8,050,977","$2,110,516","$10,161,493","$35,000,000",FALSE,NA,Lions Gate Films,R,01:43:00,103,Marvel,Punisher,79%,0.29,29,Male,2008,"$10,161,493","$35,000,000","$87,500,000",Flop
Watchmen,06/03/2009,"$107,509,799","$77,873,014","$185,382,813","$130,000,000",FALSE,NA,Warner Bros.,R,02:42:00,162,DC,Watchmen,58%,1.43,65,Male,2009,"$263,294,614","$184,635,778","$325,000,000",Flop
X-Men Origins: Wolverine,01/05/2009,"$179,883,157","$193,179,707","$373,062,864","$150,000,000",FALSE,NA,Twentieth Century Fox,PG-13,01:47:00,107,Marvel,X-Men,48%,2.49,38,Male,2009,"$373,062,864","$150,000,000","$375,000,000",Flop
Iron Man 2,07/05/2010,"$312,433,331","$311,500,000","$623,933,331","$200,000,000",TRUE,1,Paramount Pictures,PG-13,02:04:00,124,Marvel,Iron Man,50%,3.12,72,Male,2010,"$623,933,331","$200,000,000","$500,000,000",Success
Jonah Hex,18/06/2010,"$10,547,117","$356,195","$10,903,312","$47,000,000",FALSE,NA,Warner Bros.,PG-13,01:21:00,81,DC,Jonah Hex,97%,0.23,12,Male,2010,"$15,235,795","$65,675,672","$117,500,000",Flop
Thor,06/05/2011,"$181,030,624","$268,295,994","$449,326,618","$150,000,000",TRUE,1,Paramount Pictures,PG-13,01:55:00,115,Marvel,Thor,40%,3.00,77,Male,2011,"$449,326,618","$150,000,000","$375,000,000",Success
X-Men: First Class,03/06/2011,"$146,408,305","$206,208,385","$352,616,690","$160,000,000",FALSE,NA,Twentieth Century Fox,PG-13,02:11:00,131,Marvel,X-Men,42%,2.20,86,Male,2011,"$352,616,690","$160,000,000","$400,000,000",Flop
Green Lantern,17/06/2011,"$116,601,172","$120,600,000","$237,201,172","$200,000,000",FALSE,NA,Warner Bros.,PG-13,01:54:00,114,DC,Green Lantern,49%,1.19,25,Male,2011,"$321,311,879","$270,919,301","$500,000,000",Flop
Captain America: The First Avengers,22/07/2011,"$176,654,505","$193,915,269","$370,569,774","$140,000,000",TRUE,1,Paramount Pictures,PG-13,02:04:00,124,Marvel,Captain America,48%,2.65,80,Male,2011,"$370,569,774","$140,000,000","$350,000,000",Success
Ghost Rider: Spirit of Vengeance,17/02/2012,"$51,774,002","$80,789,928","$132,563,930","$57,000,000",FALSE,NA,Sony Pictures Entertainment ,PG-13,01:36:00,96,Marvel,Ghost Rider,39%,2.33,19,Male,2012,"$132,563,930","$57,000,000","$142,500,000",Flop
The Avengers,04/05/2012,"$623,357,910","$895,455,078","$1,518,812,988","$220,000,000",TRUE,1,Walt Disney Studios Motion Pictures,PG-13,02:23:00,143,Marvel,Avengers,41%,6.90,91,Male,2012,"$1,518,812,988","$220,000,000","$550,000,000",Success
The Amazing Spider-Man,03/07/2012,"$262,030,663","$495,900,000","$757,930,663","$230,000,000",FALSE,NA,Sony Pictures Entertainment ,PG-13,02:16:00,136,Marvel,Spider-Man,35%,3.30,71,Male,2012,"$757,930,663","$230,000,000","$575,000,000",Success
The Dark Knight Rises,20/07/2012,"$448,149,584","$636,918,053","$1,085,067,637","$250,000,000",FALSE,NA,Warner Bros.,PG-13,02:44:00,164,DC,Batman,41%,4.34,87,Male,2012,"$1,440,028,167","$331,783,042","$625,000,000",Success
Iron Man 3,03/05/2013,"$409,013,994","$806,563,211","$1,215,577,205","$200,000,000",TRUE,2,Walt Disney Studios Motion Pictures,PG-13,02:10:00,130,Marvel,Iron Man,34%,6.08,79,Male,2013,"$1,215,577,205","$200,000,000","$500,000,000",Success
Man of Steel,14/06/2013,"$291,045,518","$379,100,000","$670,145,518","$225,000,000",FALSE,NA,Warner Bros.,PG-13,02:23:00,143,DC,Superman,43%,2.98,56,Male,2013,"$876,532,581","$294,294,038","$562,500,000",Success
The Wolverine,26/07/2013,"$132,556,852","$282,271,394","$414,828,246","$120,000,000",FALSE,NA,Twentieth Century Fox,PG-13,02:06:00,126,Marvel,X-Men,32%,3.46,71,Male,2013,"$414,828,246","$120,000,000","$300,000,000",Success
Thor: The Dark World,08/11/2013,"$206,362,140","$438,421,000","$644,783,140","$170,000,000",TRUE,2,Walt Disney Studios Motion Pictures,PG-13,01:52:00,112,Marvel,Thor,32%,3.79,67,Male,2013,"$644,783,140","$170,000,000","$425,000,000",Success
Captain America: The Winter Soldier,04/04/2014,"$259,766,572","$454,654,931","$714,421,503","$170,000,000",TRUE,2,Walt Disney Studios Motion Pictures,PG-13,02:16:00,136,Marvel,Captain America,36%,4.20,90,Male,2014,"$714,421,503","$170,000,000","$425,000,000",Success
The Amazing Spider-Man 2,02/05/2014,"$202,853,933","$506,128,390","$708,982,323","$200,000,000",FALSE,NA,Sony Pictures Entertainment ,PG-13,02:22:00,142,Marvel,Spider-Man,29%,3.54,51,Male,2014,"$708,982,323","$200,000,000","$500,000,000",Success
X-Men: Days of Future Past,23/05/2014,"$233,921,534","$512,124,166","$746,045,700","$200,000,000",FALSE,NA,Twentieth Century Fox,PG-13,02:12:00,132,Marvel,X-Men,31%,3.73,90,Male,2014,"$746,045,700","$200,000,000","$500,000,000",Success
Guardians of the Galaxy,01/08/2014,"$333,718,600","$439,631,547","$773,350,147","$170,000,000",TRUE,2,Walt Disney Studios Motion Pictures,PG-13,02:01:00,121,Marvel,Guardians of the Galaxy,43%,4.55,92,Male,2014,"$773,350,147","$170,000,000","$425,000,000",Success
Avengers: Age of Ultron,01/05/2015,"$459,005,868","$946,012,180","$1,405,018,048","$250,000,000",TRUE,2,Walt Disney Studios Motion Pictures,PG-13,02:21:00,141,Marvel,Avengers,33%,5.62,76,Male,2015,"$1,405,018,048","$250,000,000","$625,000,000",Success
Ant-Man,17/07/2015,"$180,202,163","$339,109,802","$519,311,965","$130,000,000",TRUE,2,Walt Disney Studios Motion Pictures,PG-13,01:57:00,117,Marvel,Ant-Man,35%,3.99,83,Male,2015,"$519,311,965","$130,000,000","$325,000,000",Success
Fantastic Four,07/08/2015,"$56,117,548","$111,765,333","$167,882,881","$120,000,000",FALSE,NA,Twentieth Century Fox,PG-13,01:40:00,100,Marvel,Fantastic Four,33%,1.40,9,Male,2015,"$167,882,881","$120,000,000","$300,000,000",Flop
Deadpool,12/02/2016,"$363,070,709","$419,541,446","$782,612,155","$58,000,000",FALSE,NA,Twentieth Century Fox,R,01:48:00,108,Marvel,X-Men,46%,13.49,85,Male,2016,"$782,612,155","$58,000,000","$145,000,000",Success
Batman v Superman: Dawn of Justice,23/03/2016,"$330,360,194","$544,002,609","$874,362,803","$250,000,000",FALSE,NA,Warner Bros.,PG-13,02:31:00,151,DC,Justice League,38%,3.50,29,Male,2016,"$1,110,049,834","$317,388,225","$625,000,000",Success
Captain America: Civil War,06/05/2016,"$408,084,349","$746,962,067","$1,155,046,416","$250,000,000",TRUE,3,Walt Disney Studios Motion Pictures,PG-13,02:27:00,147,Marvel,Captain America,35%,4.62,91,Male,2016,"$1,155,046,416","$250,000,000","$625,000,000",Success
X-Men: Apocalypse,27/05/2016,"$155,442,489","$388,491,616","$543,934,105","$178,000,000",FALSE,NA,Twentieth Century Fox,PG-13,02:24:00,144,Marvel,X-Men,29%,3.06,47,Male,2016,"$543,934,105","$178,000,000","$445,000,000",Success
Suicide Squad,05/08/2016,"$325,100,054","$424,100,000","$749,200,054","$175,000,000",FALSE,NA,Warner Bros.,PG-13,02:03:00,123,DC,Suicide Squad,43%,4.28,26,Male,2016,"$951,149,103","$222,171,758","$437,500,000",Success
Doctor Strange,04/11/2016,"$232,641,920","$445,154,156","$677,796,076","$165,000,000",TRUE,3,Walt Disney Studios Motion Pictures,PG-13,01:55:00,115,Marvel,Doctor Strange,34%,4.11,89,Male,2016,"$677,796,076","$165,000,000","$412,500,000",Success
The Lego Batman Movie,10/02/2017,"$175,936,671","$136,400,000","$312,336,671","$80,000,000",FALSE,NA,Warner Bros.,PG,01:44:00,104,DC,Batman,56%,3.90,89,Male,2017,"$388,256,683","$99,445,686","$200,000,000",Success
Logan,03/03/2017,"$226,277,068","$392,902,882","$619,179,950","$97,000,000",FALSE,NA,Twentieth Century Fox,R,02:17:00,137,Marvel,X-Men,37%,6.38,94,Male,2017,"$619,179,950","$97,000,000","$242,500,000",Success
Guardians of the Galaxy Vol. 2,05/05/2017,"$389,813,101","$473,942,950","$863,756,051","$200,000,000",TRUE,3,Walt Disney Studios Motion Pictures,PG-13,02:16:00,136,Marvel,Guardians of the Galaxy,45%,4.32,85,Male,2017,"$863,756,051","$200,000,000","$500,000,000",Success
Wonder Woman,02/06/2017,"$412,845,172","$411,125,510","$823,970,682","$149,000,000",FALSE,NA,Warner Bros.,PG-13,02:21:00,141,DC,Wonder Woman,50%,5.53,93,Female,2017,"$1,024,254,126","$185,217,591","$372,500,000",Success
Spider-Man: Homecoming,07/07/2017,"$334,201,140","$545,965,784","$880,166,924","$175,000,000",TRUE,3,Sony Pictures Entertainment ,PG-13,02:13:00,133,Marvel,Spider-Man,38%,5.03,92,Male,2017,"$880,166,924","$175,000,000","$437,500,000",Success
Thor: Ragnarok,03/11/2017,"$315,058,289","$540,243,517","$855,301,806","$180,000,000",TRUE,3,Walt Disney Studios Motion Pictures,PG-13,02:10:00,130,Marvel,Thor,37%,4.75,93,Male,2017,"$855,301,806","$180,000,000","$450,000,000",Success
Justice League,17/11/2017,"$229,024,295","$432,300,000","$661,324,295","$300,000,000",FALSE,NA,Warner Bros.,PG-13,02:00:00,120,DC,Justice League,35%,2.20,39,Male,2017,"$822,073,106","$372,921,324","$750,000,000",Flop
Black Panther,16/02/2018,"$700,426,566","$649,499,517","$1,349,926,083","$200,000,000",TRUE,3,Walt Disney Studios Motion Pictures,PG-13,02:14:00,134,Marvel,Black Panther,52%,6.75,96,Male,2018,"$1,349,926,083","$200,000,000","$500,000,000",Success
Avengers: Infinity War,27/04/2018,"$678,815,482","$1,373,599,557","$2,052,415,039","$325,000,000",TRUE,3,Walt Disney Studios Motion Pictures,PG-13,02:29:00,149,Marvel,Avengers,33%,6.32,85,Male,2018,"$2,052,415,039","$325,000,000","$812,500,000",Success
Deadpool 2,18/05/2018,"$318,491,426","$416,055,185","$734,546,611","$110,000,000",FALSE,NA,Twentieth Century Fox,R,01:59:00,119,Marvel,X-Men,43%,6.68,84,Male,2018,"$734,546,611","$110,000,000","$275,000,000",Success
