Name,Team,Goals,Assists,Matches Played
Harry Kane,Tottenham Hotspur,22,4,31
Mohamed Salah,Liverpool,20,6,31
Jamie Vardy,Leicester City,18,3,29
Bruno Fernandes,Manchester United,16,7,30
Son Heung-min,Tottenham Hotspur,14,5,32
Dominic Calvert-Lewin,Everton,13,4,29
Patrick Bamford,Leeds United,12,3,28
Ollie Watkins,Aston Villa,11,2,31
Ilkay Gundogan,Manchester City,10,8,27
Kevin De Bruyne,Manchester City,9,12,26
Diogo Jota,Liverpool,8,4,30
Roberto Firmino,Liverpool,7,5,28
Marcus Rashford,Manchester United,7,7,25
Mason Mount,Chelsea,6,6,31
Phil Foden,Manchester City,6,3,22
Jack Grealish,Aston Villa,5,7,21
James Maddison,Leicester City,5,2,20
Sadio Mane,Liverpool,4,1,29
Riyad Mahrez,Manchester City,4,3,24
Pierre-Emerick Aubameyang,Arsenal,3,2,28
