,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,44397,89,25214,10219,14995,9804,1329,8397,78,195,649,160,898,7156,6,321,83
17,都島,26603,52.0,16907,7543,9364,3554,790,2761,3,18,461,68,755,4709,1.0,131,51.0
18,福島,22736,935.0,11301,4924,6377,4696,1144,3512,40,35,504,83,481,4005,0.0,1631,935.0
19,此花,24389,9.0,12712,5303,7409,4882,2109,2492,281,273,1141,302,514,4373,1.0,192,8.0
20,中央,44259,77.0,26776,10349,16427,9088,628,8448,12,46,634,178,908,6437,1.0,192,76.0
21,西,35370,133.0,18956,8080,10876,9039,1455,7253,331,10,515,264,689,5463,6.0,434,127.0
22,港,29343,96.0,14775,6322,8453,5858,2117,3061,680,334,923,955,716,5485,0.0,297,96.0
23,大正,28874,23.0,14829,6099,8730,6190,2688,2998,504,119,790,339,563,5854,0.0,190,23.0
24,天王寺,18818,42.0,11711,5721,5990,2714,312,2401,1,17,161,31,497,3558,1.0,129,41.0
25,浪速,20830,39.0,10371,4624,5747,4426,866,3549,11,13,757,201,436,4375,1.0,251,38.0
26,西淀川,38030,72.0,21090,8861,12229,7799,3227,4383,189,81,1244,399,788,6247,2.0,382,70.0
27,淀川,56889,76.0,35814,14095,21719,8779,1307,7420,52,74,783,37,1460,9686,1.0,256,75.0
28,東淀川,53743,84.0,33567,13644,19923,5892,1502,4378,12,200,1052,200,1856,10794,2.0,182,82.0
29,東成,25715,109.0,14813,6331,8482,4241,946,3267,28,109,423,57,573,5136,2.0,363,107.0
30,生野,43171,114.0,24924,10304,14620,5468,1017,4446,5,65,682,105,987,10406,0.0,534,114.0
31,旭,26397,21.0,17026,7106,9920,2647,500,2141,6,36,344,44,851,5359,1.0,90,20.0
32,城東,47992,78.0,30224,12368,17856,5618,1260,4332,26,128,1117,219,1498,8889,1.0,299,77.0
33,鶴見,38456,65.0,23364,9783,13581,5717,2320,3357,40,74,795,159,853,7213,0.0,281,65.0
34,阿倍野,25528,8.0,17615,8332,9283,2163,340,1821,2,24,296,19,700,4631,0.0,80,8.0
35,住之江,52360,177.0,28919,11501,17418,10323,3978,4117,2228,206,2175,898,885,8612,4.0,342,173.0
36,住吉,44432,8.0,29516,12572,16944,3587,669,2895,23,144,450,449,1084,9127,0.0,75,8.0
37,東住吉,45580,305.0,27204,11672,15532,5710,1338,4346,26,23,849,125,1051,10020,3.0,598,302.0
38,平野,75698,111.0,45914,18903,27011,9344,2342,6960,42,169,1234,96,1337,17119,1.0,485,110.0
39,西成,30602,20.0,16766,6929,9837,4877,1602,3189,86,80,890,100,661,7047,1.0,181,19.0
