Name,Birthdate,Deathdate,Nationality,Gender
Isabella Rossellini,"June 18, 1952",,Italy,Female
Marilyn Monroe,"June 1, 1926","August 5, 1962",United States,Female
Judy Garland,"June 10, 1922","June 22, 1969",United States,Female
Michael Jackson,"August 29, 1958","June 25, 2009",United States,Male
Elvis Presley,"January 8, 1935","August 16, 1977",United States,Male
Prince,"June 7, 1958","April 21, 2016",United States,Male
Audrey Hepburn,"May 4, 1929","January 20, 1993",Belgium,Female
Elizabeth Taylor,"February 27, 1932","March 23, 2011",United Kingdom,Female
Liza Minnelli,"March 12, 1946",,United States,Female
Grace Kelly,"November 12, 1929","September 14, 1982",United States,Female
Brigitte Bardot,"September 28, 1934",,France,Female
Monica Bellucci,"September 30, 1964",,Italy,Female
Janis Joplin,"January 19, 1943","October 4, 1970",United States,Female
Martha Graham,"May 11, 1894","April 1, 1991",United States,Female
Joan Crawford,"March 23, 1905","May 10, 1977",United States,Female
Bette Davis,"April 5, 1908","October 6, 1989",United States,Female
Susan Hayward,"June 30, 1917","March 14, 1975",United States,Female
Andy Warhol,"August 6, 1928","February 22, 1987",United States,Male
Salvador Dali,"May 11, 1904","January 23, 1989",Spain,Male
Peter Blake,"June 25, 1932",,United Kingdom,Male
Elizabeth II,"April 21, 1926","September 8, 2022",United Kingdom,Female
"Diana, Princess of Wales","July 1, 1961","August 31, 1997",United Kingdom,Female
Queen Victoria,"May 24, 1819","January 22, 1901",United Kingdom,Female
John Lennon,"October 9, 1940","December 8, 1980",United Kingdom,Male
Bob Dylan,"May 24, 1941",,United States,Male
Paul McCartney,"June 18, 1942",,United Kingdom,Male
