Activity,Injury or Fatality Rate
Horseback Riding,46.2% head injury rate
Skateboarding,50% of global extreme sports injuries
Skydiving,"15-20 fatalities per 100,000 jumpers"
Snowboarding,25% of all serious injuries
Rugby,"4.18 concussions per 1,000 athlete exposures"
Motocross,"63.8 injuries per 1,000 hours"
Boxing,"240 injuries per 100,000 athletes annually"
Bicycling,"Nearly 500,000 recreation-related traumatic brain injuries annually"
Hockey,"35 injuries per 1,000 athlete exposures"
Alpine Skiing,"1-3 per 1,000 skiing days"
Rock Climbing,"4.2 per 1,000 hours"
Hang Gliding and Paragliding,"0.93 deaths per 100,000 hours"
Women’s Gymnastics,12.5% annual injury risk
Professional Bull Riding,"10.1 injuries per 1,000 rides"
Scuba Diving,"1.8 deaths per 100,000 dives"
Crossfit,"3.1 injuries per 1,000 training hours"
Bungee Jumping,"0.2 per 1,000 jumps"
Firefighting Sports,212 injuries per 100 full-time equivalent firefighter-years
Cheerleading,0.71% injury rate
Basejumping,"Approx. 1 death per 60,000 jumps"
