,Company A,Company B,Company C,Company D
2023-01-01,1.48,4.81,4.13,5.78
2023-01-02,3.12,4.03,3.49,6.27
2023-01-03,2.07,5.26,5.79,7.06
2023-01-04,0.50,5.97,5.47,6.98
2023-01-05,0.00,6.13,3.17,6.48
2023-01-06,0.00,4.30,2.29,7.64
2023-01-07,0.00,5.16,1.75,6.84
2023-01-08,0.00,5.43,2.47,7.49
2023-01-09,0.00,4.84,1.98,7.58
2023-01-10,0.00,5.65,1.79,5.51
2023-01-11,0.00,5.91,2.19,3.40
2023-01-12,0.00,4.71,2.63,2.19
2023-01-13,0.00,4.70,2.97,3.29
2023-01-14,0.22,3.42,4.83,4.58
2023-01-15,1.26,4.05,5.04,4.83
2023-01-16,0.74,5.02,5.90,6.00
2023-01-17,1.77,4.70,5.89,4.36
2023-01-18,1.80,5.53,5.91,2.87
2023-01-19,1.56,5.72,6.66,2.25
2023-01-20,0.48,5.70,9.17,4.17
2023-01-21,1.51,4.76,11.74,4.43
2023-01-22,1.76,4.39,11.07,3.76
2023-01-23,2.23,3.18,10.84,4.43
2023-01-24,1.23,2.03,10.25,4.18
2023-01-25,0.24,2.35,10.77,4.33
2023-01-26,0.00,1.27,10.37,4.15
2023-01-27,1.34,0.85,8.80,4.89
2023-01-28,4.15,0.00,9.55,3.86
2023-01-29,3.41,0.32,6.32,4.33
2023-01-30,1.24,0.00,6.69,4.76
2023-01-31,0.00,0.00,8.26,3.94
2023-02-01,2.67,0.90,7.50,4.33
2023-02-02,2.22,1.43,5.89,5.57
2023-02-03,2.82,2.90,7.46,5.78
2023-02-04,3.72,3.96,6.82,7.45
2023-02-05,4.54,4.61,4.59,7.70
2023-02-06,3.57,4.87,5.03,8.70
2023-02-07,3.00,4.74,4.32,7.48
2023-02-08,2.76,5.09,5.07,7.02
2023-02-09,3.05,5.50,5.77,6.68
2023-02-10,1.85,4.08,5.75,7.61
2023-02-11,0.65,3.87,5.00,7.94
2023-02-12,0.31,3.82,6.50,9.57
2023-02-13,1.34,2.49,7.48,10.02
2023-02-14,2.26,2.82,7.52,11.24
2023-02-15,1.58,3.11,7.48,11.78
2023-02-16,1.26,3.65,9.36,11.90
2023-02-17,2.39,2.17,9.56,12.56
