item,current price,best offer,last sale,time listed,,,,,,,,,,,,,,,
,15.3 ETH,13.9044 WETH,1.80 ETH,28m ago,,,,,,,,,,,,,,,
,15.33 ETH,13.9044 WETH,2 ETH,40m ago,,,,,,,,,,,,,,,
,15.544 ETH,13.915 WETH,56.98 ETH,32m ago,,,,,,,,,,,,,,,
,15.99 ETH,13.9044 WETH,24.6 WETH,2h ago,,,,,,,,,,,,,,,
,16 ETH,13.9044 WETH,14.69 ETH,14h ago,,,,,,,,,,,,,,,
,16 ETH,13.9044 WETH,32.18 WETH,14h ago,,,,,,,,,,,,,,,
,16 ETH,13.9044 WETH,N/A,3h ago,,,,,,,,,,,,,,,
,16.1 ETH,13.9044 WETH,89.89 ETH,2d ago,,,,,,,,,,,,,,,
,16.45 ETH,13.9044 WETH,16.52 WETH,8h ago,,,,,,,,,,,,,,,
,16.4948 ETH,13.9044 WETH,0.55 ETH,23h ago,,,,,,,,,,,,,,,
,16.5 ETH,13.9044 WETH,30 WETH,3h ago,,,,,,,,,,,,,,,
,16.99 ETH,13.9044 WETH,21.53 WETH,31m ago,,,,,,,,,,,,,,,
,16.99 ETH,13.9044 WETH,29.25 WETH,31m ago,,,,,,,,,,,,,,,
,17 ETH,13.9044 WETH,102.5 ETH,2d ago,,,,,,,,,,,,,,,
,17.5 ETH,13.9044 WETH,N/A,14h ago,,,,,,,,,,,,,,,
,17.76 ETH,13.9044 WETH,90.5 ETH,6h ago,,,,,,,,,,,,,,,
,17.99 ETH,14.8 WETH,69.42 ETH,13h ago,,,,,,,,,,,,,,,
,18 ETH,15 WETH,14.99 ETH,2h ago,,,,,,,,,,,,,,,
,18.5 ETH,13.9044 WETH,82 ETH,16h ago,,,,,,,,,,,,,,,
,18.69 ETH,13.9044 WETH,12.93 WETH,11h ago,,,,,,,,,,,,,,,
,18.75 ETH,13.9044 WETH,23.23 ETH,5d ago,,,,,,,,,,,,,,,
