State,Population (millions),Area (square miles),GDP (billion USD),Average Income (USD),Education Level (%)
Alabama,22.22,386637.0,2043.12,37472.0,85.92
Alaska,28.78,302021.0,831.92,73406.0,93.23
Arizona,24.35,655524.0,2213.53,38125.0,87.18
Arkansas,22.07,85615.0,2887.7,60778.0,83.41
California,17.29,154308.0,768.8,36191.0,80.47
Colorado,26.05,123722.0,1741.19,72400.0,81.28
Connecticut,17.84,439949.0,1788.36,70366.0,92.91
Delaware,35.74,182867.0,1729.59,58455.0,88.62
Florida,38.57,319838.0,692.55,50359.0,90.2
Georgia,15.71,177166.0,2859.66,33458.0,97.04
Hawaii,31.79,122217.0,1357.96,64871.0,98.82
Idaho,21.44,90971.0,2543.83,52677.0,84.12
Illinois,22.98,442020.0,2107.45,66103.0,92.6
Indiana,37.07,108852.0,913.39,73319.0,85.0
Iowa,3.4,146402.0,2446.98,78776.0,80.39
Kansas,4.03,257090.0,1207.62,72790.0,94.41
Kentucky,1.4,547899.0,2646.88,30586.0,86.08
Louisiana,33.41,82436.0,1756.38,47999.0,87.29
Maine,31.26,558799.0,2648.75,66500.0,91.18
Maryland,34.88,81791.0,2086.82,38581.0,95.79
Massachusetts,39.16,647863.0,2184.01,56052.0,91.95
Michigan,32.09,321343.0,1518.93,32717.0,96.58
Minnesota,18.78,648057.0,2869.57,40000.0,85.2
Mississippi,31.35,408916.0,1942.65,30926.0,95.16
Missouri,5.26,495346.0,1288.85,69685.0,83.53
Montana,25.81,45198.0,1830.99,41196.0,98.1
Nebraska,6.25,201845.0,87.0,47268.0,93.06
Nevada,37.82,97286.0,925.68,76404.0,84.09
New Hampshire,21.16,210418.0,1990.72,65221.0,98.0
New Jersey,16.94,96342.0,891.53,31592.0,93.89
New Mexico,11.02,224463.0,1865.51,38235.0,84.82
New York,31.1,286371.0,1303.44,61074.0,84.05
North Carolina,18.57,61247.0,432.36,58861.0,89.85
North Dakota,23.0,465260.0,915.9,41895.0,80.49
Ohio,1.34,384325.0,1722.8,76711.0,83.94
Oklahoma,24.93,190645.0,1784.89,60698.0,88.07
Oregon,24.72,356448.0,1735.75,56782.0,87.11
Pennsylvania,24.91,80404.0,1970.01,59495.0,88.81
Rhode Island,37.78,390334.0,1966.75,66506.0,85.27
South Carolina,27.46,617537.0,1311.31,45597.0,91.15
South Dakota,14.76,224840.0,2692.74,49911.0,96.41
Tennessee,17.82,449145.0,1121.66,40492.0,82.23
Texas,28.09,104746.0,1324.52,39310.0,89.83
Utah,2.97,480598.0,2679.01,77219.0,82.51
Vermont,26.87,206088.0,2424.4,66978.0,93.62
Virginia,27.02,137792.0,2120.55,54523.0,87.53
Washington,8.89,397128.0,327.67,41371.0,90.74
West Virginia,5.68,32929.0,2760.86,42718.0,83.48
Wisconsin,13.03,553008.0,2151.3,32901.0,82.75
Wyoming,14.93,23019.0,2996.58,51721.0,89.27
