Color,Shape,Peduncle,Good Melon
White,Round,Stiff,1
Green,Round,Stiff,0
White,Oval,Stiff,0
Green,Oval,Curly,0
White,Oval,Stiff,0
Green,Round,Curly,1
Green,Oval,Stiff,1
Green,Oval,Curly,0
White,Oval,Curly,1
White,Round,Curly,0
Green,Round,Curly,0
Green,Round,Curly,0
White,Round,Curly,0
White,Oval,Curly,1
Green,Round,Curly,1
Green,Round,Curly,0
Green,Oval,Curly,0
White,Oval,Curly,0
White,Oval,Curly,0
White,Oval,Curly,1
Green,Oval,Curly,0
Green,Round,Stiff,0
Green,Round,Stiff,0
Green,Round,Stiff,1
White,Oval,Stiff,1
White,Oval,Stiff,0
White,Oval,Stiff,1
White,Round,Curly,1
Green,Round,Curly,1
White,Oval,Stiff,0
Green,Oval,Stiff,1
White,Round,Stiff,0
White,Oval,Stiff,1
White,Oval,Stiff,1
Green,Round,Stiff,0
Green,Round,Stiff,0
White,Round,Stiff,0
White,Round,Curly,0
Green,Round,Stiff,0
White,Round,Stiff,1
Green,Round,Curly,1
Green,Oval,Stiff,1
White,Round,Stiff,0
Green,Oval,Curly,1
White,Round,Stiff,0
White,Oval,Stiff,0
White,Oval,Stiff,0
White,Oval,Stiff,1
Green,Round,Stiff,1
Green,Oval,Curly,0
Green,Oval,Stiff,1
Green,Round,Curly,1
White,Round,Curly,0
Green,Oval,Stiff,0
Green,Oval,Stiff,1
White,Round,Curly,1
Green,Round,Curly,1
Green,Round,Curly,0
White,Oval,Curly,1
White,Oval,Stiff,1
Green,Round,Stiff,1
Green,Oval,Curly,1
Green,Oval,Curly,1
Green,Round,Stiff,0
White,Round,Curly,1
Green,Oval,Curly,1
Green,Oval,Curly,1
Green,Round,Stiff,1
Green,Round,Curly,1
Green,Oval,Curly,0
Green,Oval,Stiff,1
Green,Oval,Curly,1
Green,Oval,Curly,1
White,Round,Curly,0
White,Round,Stiff,0
Green,Round,Curly,0
White,Oval,Curly,1
White,Round,Stiff,0
Green,Round,Curly,0
White,Oval,Curly,1
White,Oval,Curly,0
White,Round,Curly,0
Green,Round,Curly,1
Green,Oval,Stiff,0
White,Oval,Stiff,1
White,Round,Stiff,1
Green,Round,Curly,1
White,Round,Stiff,0
White,Round,Stiff,0
White,Round,Curly,0
Green,Round,Curly,1
White,Oval,Stiff,0
White,Oval,Stiff,0
White,Oval,Curly,0
White,Oval,Stiff,0
White,Oval,Curly,1
White,Oval,Stiff,1
White,Oval,Curly,0
White,Round,Stiff,1
Green,Round,Stiff,0
Green,Round,Curly,0
Green,Round,Curly,1
Green,Oval,Curly,1
Green,Round,Curly,0
White,Round,Curly,1
White,Round,Stiff,1
White,Oval,Curly,1
Green,Oval,Stiff,1
Green,Round,Curly,0
White,Round,Curly,1
White,Oval,Curly,1
Green,Oval,Stiff,1
Green,Round,Curly,1
White,Oval,Curly,0
Green,Oval,Curly,1
Green,Round,Stiff,0
Green,Round,Stiff,1
White,Round,Stiff,0
White,Round,Curly,0
Green,Oval,Stiff,0
White,Oval,Stiff,1
White,Oval,Stiff,0
White,Oval,Stiff,0
Green,Oval,Stiff,0
White,Round,Stiff,0
Green,Round,Stiff,1
White,Oval,Stiff,0
Green,Round,Curly,1
Green,Oval,Curly,1
White,Oval,Curly,0
White,Round,Stiff,1
Green,Oval,Stiff,1
White,Oval,Stiff,0
Green,Round,Curly,1
White,Round,Stiff,0
White,Oval,Stiff,0
White,Round,Curly,0
White,Oval,Stiff,1
White,Round,Curly,0
Green,Oval,Stiff,0
Green,Oval,Curly,1
White,Round,Curly,1
Green,Oval,Curly,0
Green,Round,Curly,1
White,Oval,Curly,0
Green,Round,Curly,0
Green,Oval,Curly,0
White,Oval,Curly,0
White,Oval,Curly,1
