name,price (PLN),country,region,appellation,vineyard,vintage,volume (liters),alcohol (%),serving temperature (C),color,kind,taste,style,medals,wegan,natural,punctation,grapes
Szampan Moet & Chandon Brut Imperial Magnum w kartoniku,666.0,France,Champagne,Champagne AOC,Moet & Chandon,,1.5,,9,,champagne,dry,average,,False,False,,Chardonnay
11 Filari Primitivo di Manduria San Marzano,109.0,Italy,Puglia,Primitivo di Manduria DOP,,2017.0,0.5,17.5,18,red,,sweet,full,,False,False,,Primitivo
Szampan Moet & Chandon Brut Imperial Jeroboam w skrzyni,1999.0,France,Champagne,Champagne AOC,Moet & Chandon,,3.0,,9,,champagne,dry,average,,False,False,,Chardonnay
770 Miles Zinfandel California,37.0,United States of America,California,,,2021.0,0.75,13.5,16-18,red,,dry,average,,False,False,,Zinfandel
770 Miles Zinfandel Rose California,39.0,United States of America,California,,,2021.0,0.75,10.0,8-10,rose,,semi-dry,light,,False,False,,Zinfandel
a6mani Concura Primitivo di Manduria DOP Riserva,195.0,Italy,Puglia,Primitivo di Manduria DOP,,2018.0,0.75,14.5,16-18,red,,dry,full,"Mundus Vini Silver, Berliner Gold",False,False,,Primitivo
a6mani Familia Primitivo di Manduria DOP,93.0,Italy,Puglia,Primitivo di Manduria DOP,,2020.0,0.75,14.0,16-18,red,,dry,full,"Mundus Vini Gold, Berliner Gold",False,False,,Primitivo
a6mani Lifili Bianco Salento IGP,52.0,Italy,Puglia,Salento IGT,,2021.0,0.75,12.0,10-12,white,,dry,light,,False,False,,"Malvasia Bianca, Chardonnay"
a6mani Lifili Negroamaro Salento IGP,53.0,Italy,Puglia,Salento IGT,,2021.0,0.75,13.5,15,red,,dry,average,Mundus Vini Gold,False,False,,Negroamaro
a6mani Lifili Primitivo Salento IGP,55.0,Italy,Puglia,Salento IGT,,2021.0,0.75,13.5,15,red,,dry,average,,False,False,,Primitivo
Abadal Blanc Pla de Bages DO,67.0,Spain,Catalonia,Pla de Bages DO,,2021.0,0.75,12.5,8-10,white,,dry,light,,False,True,,"Chardonnay, Picapoll / Picpoul, Sauvignon Blanc, Macabeo"
Abadal Matís Crianza Pla de Bages DO,89.0,Spain,Catalonia,Pla de Bages DO,,2019.0,0.75,14.0,16,red,,dry,full,,False,True,,"Merlot, Cabernet Sauvignon, Mandó"
Abadal Picapoll Pla de Bages DO,89.0,Spain,Catalonia,Pla de Bages DO,,2021.0,0.75,12.5,8-10,white,,dry,average,,False,True,,Picpoul de pinet
Abafado 5 Years Quinta da Alorna,63.0,Portugal,Alentejo,Vinho Regional Tejo,Quinta Da Alorna,2016.0,0.5,17.5,12-14,white,,sweet,full,,False,False,,Fernao Pires
Achillée Alsace VdF,145.0,France,Alsace,Vin de France,Achillée,2020.0,0.75,12.0,10,white,,dry,average,,False,True,,"Gewürztraminer, Sylvaner, Pinot Blanc, Muscat, Auxerrois, Chasselas, Riesling"
