JDTDB,Calendar Date (TDB),X,Y,Z,Unnamed: 5,distance_from_origin
2451214.540613426, A.D. 1999-Feb-05 00:58:29.0000,-288747920.4014895,24757945.55630772,22126855.53510034,,290650847.4789386
2451215.540613426, A.D. 1999-Feb-06 00:58:29.0000,-289446587.3203819,23035934.93346225,22866787.85207847,,291260830.1786324
2451216.540613426, A.D. 1999-Feb-07 00:58:29.0000,-290133649.6015852,21313000.30706115,23605803.31485712,,291871568.61085993
2451217.540613426, A.D. 1999-Feb-08 00:58:29.0000,-290809152.5744454,19589216.10934052,24343878.22074887,,292483033.72276515
2451218.540613426, A.D. 1999-Feb-09 00:58:29.0000,-291473141.8477991,17864655.90511964,25080989.23178605,,293095196.7707429
2451219.540613426, A.D. 1999-Feb-10 00:58:29.0000,-292125663.2967085,16139392.39760209,25817113.37101007,,293708029.3187731
2451220.540613426, A.D. 1999-Feb-11 00:58:29.0000,-292766763.0494693,14413497.43427704,26552228.01875284,,294321503.2367017
2451221.540613426, A.D. 1999-Feb-12 00:58:29.0000,-293396487.4748839,12687042.01291503,27286310.90891188,,294935590.6984693
2451222.540613426, A.D. 1999-Feb-13 00:58:29.0000,-294014883.1697997,10960096.28765337,28019340.125221,,295550264.1802887
2451223.540613426, A.D. 1999-Feb-14 00:58:29.0000,-294621996.946905,9232729.575167052,28751294.0975184,,296165496.4587743
2451224.540613426, A.D. 1999-Feb-15 00:58:29.0000,-295217875.8227791,7505010.360921682,29482151.59801376,,296781260.609021
2451225.540613426, A.D. 1999-Feb-16 00:58:29.0000,-295802567.0061936,5777006.30550539,30211891.73755629,,297397530.0026369
2451226.540613426, A.D. 1999-Feb-17 00:58:29.0000,-296376117.8866599,4048784.251037874,30940493.96190543,,298014278.3057307
2451227.540613426, A.D. 1999-Feb-18 00:58:29.0000,-296938576.0232202,2320410.227655286,31667938.04800605,,298631479.476854
2451228.540613426, A.D. 1999-Feb-19 00:58:29.0000,-297489989.1334819,591949.4600703884,32394204.1002703,,299249107.76490617
2451229.540613426, A.D. 1999-Feb-20 00:58:29.0000,-298030405.0828919,-1136533.625792298,33119272.54686797,,299867137.707
2451230.540613426, A.D. 1999-Feb-21 00:58:29.0000,-298559871.8742558,-2864975.396086989,33843124.13602761,,300485544.12630033
2451231.540613426, A.D. 1999-Feb-22 00:58:29.0000,-299078437.6375028,-4593313.002263853,34565739.93235055,,301104302.1298389
2451232.540613426, A.D. 1999-Feb-23 00:58:29.0000,-299586150.6197013,-6321484.374215927,35287101.31313995,,301723387.1063157
2451233.540613426, A.D. 1999-Feb-24 00:58:29.0000,-300083059.1753337,-8049428.213360809,36007189.96474701,,302342774.7238988
2451234.540613426, A.D. 1999-Feb-25 00:58:29.0000,-300569211.7568361,-9777083.98566774,36725987.87893585,,302962440.92803377
2451235.540613426, A.D. 1999-Feb-26 00:58:29.0000,-301044656.9054053,-11504391.91463828,37443477.34926844,,303582361.93926674
2451236.540613426, A.D. 1999-Feb-27 00:58:29.0000,-301509443.2420861,-13231292.97426289,38159640.96751033,,304202514.2511035
2451237.540613426, A.D. 1999-Feb-28 00:58:29.0000,-301963619.4591259,-14957728.88196769,38874461.62005697,,304822874.6278919
2451238.540613426, A.D. 1999-Mar-01 00:58:29.0000,-302407234.3115997,-16683642.09157228,39587922.48438007,,305443420.1027413
2451239.540613426, A.D. 1999-Mar-02 00:58:29.0000,-302840336.6092891,-18408975.7862782,40300007.02549309,,306064127.9754655
2451240.540613426, A.D. 1999-Mar-03 00:58:29.0000,-303262975.2087993,-20133673.87170265,41010698.99243407,,306684975.81054235
2451241.540613426, A.D. 1999-Mar-04 00:58:29.0000,-303675199.0058933,-21857680.96896625,41719982.41476512,,307305941.4350759
2451242.540613426, A.D. 1999-Mar-05 00:58:29.0000,-304077056.9280202,-23580942.40783683,42427841.59908694,,307927002.9367437
2451243.540613426, A.D. 1999-Mar-06 00:58:29.0000,-304468597.9270191,-25303404.2199266,43134261.12556899,,308548138.6617177
2451244.540613426, A.D. 1999-Mar-07 00:58:29.0000,-304849870.9719821,-27025013.13193344,43839225.84449524,,309169327.2125486
2451245.540613426, A.D. 1999-Mar-08 00:58:29.0000,-305220925.0422645,-28745716.55891592,44542720.87282632,,309790547.4460054
2451246.540613426, A.D. 1999-Mar-09 00:58:29.0000,-305581809.1206373,-30465462.59758787,45244731.59078063,,310411778.4708699
2451247.540613426, A.D. 1999-Mar-10 00:58:29.0000,-305932572.186578,-32184200.01962095,45945243.63843545,,311032999.645687
2451248.540613426, A.D. 1999-Mar-11 00:58:29.0000,-306273263.2097077,-33901878.26495001,46644242.91235028,,311654190.5764797
2451249.540613426, A.D. 1999-Mar-12 00:58:29.0000,-306603931.1433743,-35618447.4350743,47341715.56221435,,312275331.11443466
2451250.540613426, A.D. 1999-Mar-13 00:58:29.0000,-306924624.9183869,-37333858.28634942,48037647.98751992,,312896401.3535639
2451251.540613426, A.D. 1999-Mar-14 00:58:29.0000,-307235393.4369102,-39048062.22327619,48732026.83426242,,313517381.62835747
2451252.540613426, A.D. 1999-Mar-15 00:58:29.0000,-307536285.5665194,-40761011.2917854,49424838.99166867,,314138252.51142716
2451253.540613426, A.D. 1999-Mar-16 00:58:29.0000,-307827350.1344181,-42472658.17252348,50116071.58895382,,314758994.811152
2451254.540613426, A.D. 1999-Mar-17 00:58:29.0000,-308108635.9218217,-44182956.17414407,50805711.99210744,,315379589.56932676
2451255.540613426, A.D. 1999-Mar-18 00:58:29.0000,-308380191.6585049,-45891859.22661042,51493747.80070914,,316000018.05881953
2451256.540613426, A.D. 1999-Mar-19 00:58:29.0000,-308642066.0175132,-47599321.87451364,52180166.84477389,,316620261.78124005
2451257.540613426, A.D. 1999-Mar-20 00:58:29.0000,-308894307.6100333,-49305299.27041098,52864957.1816271,,317240302.4646174
2451258.540613426, A.D. 1999-Mar-21 00:58:29.0000,-309136964.9804239,-51009747.16818876,53548107.09280957,,317860122.06109375
2451259.540613426, A.D. 1999-Mar-22 00:58:29.0000,-309370086.601398,-52712621.91645309,54229605.0810122,,318479702.744627
2451260.540613426, A.D. 1999-Mar-23 00:58:29.0000,-309593720.8693603,-54413880.45195185,54909439.86704067,,319099026.9087119
2451261.540613426, A.D. 1999-Mar-24 00:58:29.0000,-309807916.0998887,-56113480.29303015,55587600.38680976,,319718077.1641097
2451262.540613426, A.D. 1999-Mar-25 00:58:29.0000,-310012720.523362,-57811379.53312234,56264075.78836779,,320336836.3365944
2451263.540613426, A.D. 1999-Mar-26 00:58:29.0000,-310208182.2807261,-59507536.83428125,56938855.42895058,,320955287.4647097
2451264.540613426, A.D. 1999-Mar-27 00:58:29.0000,-310394349.419399,-61201911.42074763,57611928.87206551,,321573413.7975416
2451265.540613426, A.D. 1999-Mar-28 00:58:29.0000,-310571269.8893076,-62894463.0725605,58283285.88460524,,322191198.79250187
2451266.540613426, A.D. 1999-Mar-29 00:58:29.0000,-310738991.5390553,-64585152.11920946,58952916.43399133,,322808626.1131255
2451267.540613426, A.D. 1999-Mar-30 00:58:29.0000,-310897562.1122161,-66273939.43333073,59620810.68534773,,323425679.6268814
2451268.540613426, A.D. 1999-Mar-31 00:58:29.0000,-311047029.243753,-67960786.42444715,60286958.99870406,,324042343.4029955
2451269.540613426, A.D. 1999-Apr-01 00:58:29.0000,-311187440.4565567,-69645655.03275347,60951351.92622876,,324658601.7102878
2451270.540613426, A.D. 1999-Apr-02 00:58:29.0000,-311318843.1581022,-71328507.72294722,61613980.20949195,,325274439.015022
2451271.540613426, A.D. 1999-Apr-03 00:58:29.0000,-311441284.6372206,-73009307.47810638,62274834.77675822,,325889839.9787687
2451272.540613426, A.D. 1999-Apr-04 00:58:29.0000,-311554812.0609833,-74688017.79361397,62933906.74030909,,326504789.4562831
2451273.540613426, A.D. 1999-Apr-05 00:58:29.0000,-311659472.4716956,-76364602.67113027,63591187.39379516,,327119272.4933949
2451274.540613426, A.D. 1999-Apr-06 00:58:29.0000,-311755312.7839978,-78039026.61261326,64246668.20961799,,327733274.3249138
2451275.540613426, A.D. 1999-Apr-07 00:58:29.0000,-311842379.7820705,-79711254.61438763,64900340.83634153,,328346780.3725478
2451276.540613426, A.D. 1999-Apr-08 00:58:29.0000,-311920720.1169426,-81381252.16126285,65552197.09613305,,328959776.24283695
2451277.540613426, A.D. 1999-Apr-09 00:58:29.0000,-311990380.3038982,-83048985.22070058,66202228.98223363,,329572247.72510093
2451278.540613426, A.D. 1999-Apr-10 00:58:29.0000,-312051406.7199818,-84714420.23703173,66850428.6564578,,330184180.78940135
2451279.540613426, A.D. 1999-Apr-11 00:58:29.0000,-312103845.6015982,-86377524.12572375,67496788.44672264,,330795561.58451986
2451280.540613426, A.D. 1999-Apr-12 00:58:29.0000,-312147743.0422048,-88038264.26769817,68141300.84460586,,331406376.4359498
2451281.540613426, A.D. 1999-Apr-13 00:58:29.0000,-312183144.9900963,-89696608.50369866,68783958.502933,,332016611.84390527
2451282.540613426, A.D. 1999-Apr-14 00:58:29.0000,-312210097.2462757,-91352525.12871005,69424754.2333934,,332626254.4813437
2451283.540613426, A.D. 1999-Apr-15 00:58:29.0000,-312228645.4624131,-93005982.88642812,70063681.00418511,,333235291.19200444
2451284.540613426, A.D. 1999-Apr-16 00:58:29.0000,-312238835.1388891,-94656950.96378088,70700731.93768811,,333843708.98846483
2451285.540613426, A.D. 1999-Apr-17 00:58:29.0000,-312240711.62292,-96305398.98550096,71335900.30816633,,334451495.05021
2451286.540613426, A.D. 1999-Apr-18 00:58:29.0000,-312234320.1067626,-97951297.00874956,71969179.53949755,,335058636.7217192
2451287.540613426, A.D. 1999-Apr-19 00:58:29.0000,-312219705.6259996,-99594615.51779208,72600563.20293188,,335665121.5105699
2451288.540613426, A.D. 1999-Apr-20 00:58:29.0000,-312196913.0578994,-101235325.4187252,73230045.01487768,,336270937.08555573
2451289.540613426, A.D. 1999-Apr-21 00:58:29.0000,-312165987.1198516,-102873398.0342561,73857618.83471565,,336876071.2748235
2451290.540613426, A.D. 1999-Apr-22 00:58:29.0000,-312126972.3678753,-104508805.0985332,74483278.66264026,,337480512.0640244
2451291.540613426, A.D. 1999-Apr-23 00:58:29.0000,-312079913.1951978,-106141518.7520286,75107018.63752854,,338084247.5944827
2451292.540613426, A.D. 1999-Apr-24 00:58:29.0000,-312024853.8309031,-107771511.5364732,75728833.03483617,,338687266.16138184
2451293.540613426, A.D. 1999-Apr-25 00:58:29.0000,-311961838.3386474,-109398756.3898433,76348716.26452035,,339289556.2119661
2451294.540613426, A.D. 1999-Apr-26 00:58:29.0000,-311890910.6154408,-111023226.6413987,76966662.8689895,,339891106.34375966
2451295.540613426, A.D. 1999-Apr-27 00:58:29.0000,-311812114.3904924,-112644896.0067735,77582667.52107951,,340491905.30280256
2451296.540613426, A.D. 1999-Apr-28 00:58:29.0000,-311725493.2241178,-114263738.583119,78196725.0220561,,341091941.9819031
2451297.540613426, A.D. 1999-Apr-29 00:58:29.0000,-311631090.5067073,-115879728.8442977,78808830.29964335,,341691205.4189068
2451298.540613426, A.D. 1999-Apr-30 00:58:29.0000,-311528949.4577528,-117492841.6361303,79418978.40607813,,342289684.7949833
2451299.540613426, A.D. 1999-May-01 00:58:29.0000,-311419113.1249317,-119103052.1716937,80027164.51618937,,342887369.43292826
2451300.540613426, A.D. 1999-May-02 00:58:29.0000,-311301624.3832463,-120710336.0266721,80633383.92550391,,343484248.79548347
2451301.540613426, A.D. 1999-May-03 00:58:29.0000,-311176525.9342171,-122314669.1347586,81237632.04837619,,344080312.4836719
2451302.540613426, A.D. 1999-May-04 00:58:29.0000,-311043860.3051271,-123916027.7831102,81839904.41614307,,344675550.23515
2451303.540613426, A.D. 1999-May-05 00:58:29.0000,-310903669.8483166,-125514388.6078532,82440196.67530322,,345269951.9225745
2451304.540613426, A.D. 1999-May-06 00:58:29.0000,-310755996.7405257,-127109728.5896408,83038504.58572039,,345863507.55198574
2451305.540613426, A.D. 1999-May-07 00:58:29.0000,-310600882.9822835,-128702025.0492617,83634824.01885083,,346456207.2612051
2451306.540613426, A.D. 1999-May-08 00:58:29.0000,-310438370.3973398,-130291255.6433004,84229150.95599414,,347048041.31824666
2451307.540613426, A.D. 1999-May-09 00:58:29.0000,-310268500.6321399,-131877398.3598471,84821481.48656726,,347639000.11974216
2451308.540613426, A.D. 1999-May-10 00:58:29.0000,-310091315.155338,-133460431.5142574,85411811.8064015,,348229074.18937767
2451309.540613426, A.D. 1999-May-11 00:58:29.0000,-309906855.2573476,-135040333.7449616,86000138.21606234,,348818254.17634183
2451310.540613426, A.D. 1999-May-12 00:58:29.0000,-309715162.0499269,-136617084.0093198,86586457.11919142,,349406530.85378295
2451311.540613426, A.D. 1999-May-13 00:58:29.0000,-309516276.4657961,-138190661.5795238,87170765.0208708,,349993895.11727417
2451312.540613426, A.D. 1999-May-14 00:58:29.0000,-309310239.2582846,-139761046.0385417,87753058.5260093,,350580337.98328435
2451313.540613426, A.D. 1999-May-15 00:58:29.0000,-309097091.0010071,-141328217.2761024,88333334.33775057,,351165850.5876545
2451314.540613426, A.D. 1999-May-16 00:58:29.0000,-308876872.0875646,-142892155.4847173,88911589.255903,,351750424.18407506
2451315.540613426, A.D. 1999-May-17 00:58:29.0000,-308649622.7312741,-144452841.1557331,89487820.17539197,,352334050.14256656
2451316.540613426, A.D. 1999-May-18 00:58:29.0000,-308415382.9649224,-146010255.0754141,90062024.0847339,,352916719.9479594
2451317.540613426, A.D. 1999-May-19 00:58:29.0000,-308174192.6405501,-147564378.3210461,90634198.0645332,,353498425.19837725
2451318.540613426, A.D. 1999-May-20 00:58:29.0000,-307926091.4292678,-149115192.2570588,91204339.28600244,,354079157.6037224
2451319.540613426, A.D. 1999-May-21 00:58:29.0000,-307671118.8211113,-150662678.5311634,91772445.00950614,,354658908.9841702
2451320.540613426, A.D. 1999-May-22 00:58:29.0000,-307409314.1249411,-152206819.0705032,92338512.58312936,,355237671.26867664
2451321.540613426, A.D. 1999-May-23 00:58:29.0000,-307140716.4683983,-153747596.0778185,92902539.44127084,,355815436.49350846
2451322.540613426, A.D. 1999-May-24 00:58:29.0000,-306865364.7979245,-155284992.0276291,93464523.10326187,,356392196.8008058
2451323.540613426, A.D. 1999-May-25 00:58:29.0000,-306583297.8788545,-156818989.6624452,94024461.17201044,,356967944.43718815
2451324.540613426, A.D. 1999-May-26 00:58:29.0000,-306294554.2955882,-158349571.9890164,94582351.33266948,,357542671.7524137
2451325.540613426, A.D. 1999-May-27 00:58:29.0000,-305999172.4518414,-159876722.2746359,95138191.35132869,,358116371.1980993
2451326.540613426, A.D. 1999-May-28 00:58:29.0000,-305697190.5709748,-161400424.0435128,95691979.07372822,,358689035.326506
