Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Display,Rating (Out of 5),Strap Material,Average Battery Life (in days),Reviews
Xiaomi,FitnessBand,Smart Band 5,Black,"2,499","2,999",AMOLED Display,4.1,Thermoplastic polyurethane,14,
Xiaomi,FitnessBand,Smart Band 4,Black,"2,099","2,499",AMOLED Display,4.2,Thermoplastic polyurethane,14,
Xiaomi,FitnessBand,HMSH01GE,Black,"1,722","2,099",LCD Display,3.5,Leather,14,
Xiaomi,FitnessBand,Smart Band 5,Black,"2,469","2,999",AMOLED Display,4.1,Thermoplastic polyurethane,14,
Xiaomi,FitnessBand,Band 3,Black,"1,799","2,199",OLED Display,4.3,Plastic,7,
Xiaomi,FitnessBand,Band - HRX Edition,Black,"1,299","1,799",OLED Display,4.2,Plastic,20,
Xiaomi,FitnessBand,Band 2,Black,"2,499","2,499",OLED Display,4.3,Plastic,7,
Xiaomi,Smartwatch,Revolve,Black,"12,349","15,999",AMOLED Display,4.4,Silicone,14,2
Xiaomi,Smartwatch,RevolveActive,Black,"12,999","15,999",AMOLED Display,4.4,Silicone,14,3
Xiaomi,FitnessBand,Smart Band 3i,Black,"1,270","1,599",OLED Display,4.2,Thermoplastic polyurethane,7,
OnePlus ,FitnessBand,Steven Harrington Edition Band,Blue,"3,299","3,999",AMOLED Display,4.3,Thermoplastic polyurethane,7,
OnePlus ,FitnessBand,Band,Dual Color,"2,499","2,799",AMOLED Display,4.2,Thermoplastic polyurethane,7,
FitBit,Smartwatch,Versa 2,"Grey, Pink, Black","11,999","14,999",AMOLED Display,4.3,Silicone,7,
FitBit,Smartwatch,Sense,"Black, Pink, Beige","21,499","22,999",AMOLED Display,4.2,Elastomer,7,
FitBit,Smartwatch,Versa 3,"Black, Blue, Pink","17,999","18,999",AMOLED Display,4.3,Elastomer,7,
FitBit,FitnessBand,Charge 4,"Storm Blue, Black, Rosewood","9,999","9,999",PMOLED Display,4.2,Elastomer,7,
FitBit,FitnessBand,Inspire,Maroon ,"7,990","7,999",LED Display,4.2,Silicone,5,
FitBit,FitnessBand,Inspire 2,"Black, Desert Rose, Lunar White","6,999","7,999",PMOLED Display,4.4,Thermoplastic polyurethane,10,
FitBit,FitnessBand,Lunar,White ,"10,899","10,999",AMOLED Display,4.7,Silicone,7,
