Rank,Player,Club,,,Country and other,Total,Career span,,,,,,,,,,,,
,,League,Cup,Continental,,,,,,,,,,,,,,,
1,Cristiano Ronaldo,534[a],52,163,128,877,2002–present,,,,,,,,,,,,
2,Lionel Messi,500[b],71,147,106,824,2004–present,,,,,,,,,,,,
3,Pelé,604[c],49,26,83,762,1957–1977,,,,,,,,,,,,
4,Romário,544[d],93,54,64,755,1985–2007,,,,,,,,,,,,
5,  Ferenc Puskás,515[e],69,56,84,724,1943–1966,,,,,,,,,,,,
6,  Josef Bican,515[f],134,41,32,722,1931–1955,,,,,,,,,,,,
7,Jimmy Jones,332[g],290,14,12,648,1947–1964,,,,,,,,,,,,
8,Gerd Müller,405[h],92,69,68,634,1964–1981,,,,,,,,,,,,
9,Joe Bambrick,348[i],260,0,21,629,1926–1943,,,,,,,,,,,,
10,Abe Lenstra,573[j],18,0,33,624,1937–1960,,,,,,,,,,,,
11,Robert Lewandowski,379[k],57,103,82,621,2008–present,,,,,,,,,,,,
12,Eusébio,422[l],97,59,41,619,1957–1978,,,,,,,,,,,,
13,Glenn Ferguson,313[m],241,9,0,563,1987–2011,,,,,,,,,,,,
14,Zlatan Ibrahimović,394[n],48,57,62,561,1999–2023,,,,,,,,,,,,
15,Luis Suárez,390[o],48,53,68,559,2005–present,,,,,,,,,,,,
16,Fernando Peyroteo,464[p],72,3,14,553,1937–1949,,,,,,,,,,,,
17,Uwe Seeler,447[q],41,21,43,552,1954–1972,,,,,,,,,,,,
18,Jimmy McGrory,409[r],131,0,12,552,1922–1937,,,,,,,,,,,,
19,  Alfredo Di Stéfano,376[s],55,70,29,530,1945–1966,,,,,,,,,,,,
20,György Sárosi,351[t],22,102,42,517,1930–1948,,,,,,,,,,,,
21,Roberto Dinamite,476[u],8,5,22,511,1971–1992,,,,,,,,,,,,
22,Hugo Sánchez,390[v],49,38,30,507,1976–1997,,,,,,,,,,,,
23,Imre Schlosser,417[w],18,10,59,504,1905–1928,,,,,,,,,,,,
24,Franz Binder,297[x],93,87,26,503,1930–1949,,,,,,,,,,,,
