Rank,Name,Net Worth (in $ Billions),Source of Wealth,Country
#1,Bernard Arnault & family,$235.60,LVMH,France
#2,Jeff Bezos,$192.80,Amazon,United States
#3,Elon Musk,$188.50,"Tesla, SpaceX",United States
#4,Mark Zuckerberg,$169.80,Facebook ,United States
#5,Larry Ellison,$154.60,Oracle,United States
#6,Warren Buffett,$135.00,Berkshire Hathaway,United States
#7,Bill Gates,$129.50,Microsoft,United States
#8,Steve Ballmer,$123.50,Microsoft,United States
#9,Larry Page,$118.30,Google,United States
#10,Mukesh Ambani,$113.90,Reliance Industries,India
